Emotion,Statement
joy,found money road returned owner police
sadness,realized hospital car accident scleral tear left eye
shame,counterfeited mark school register lesson gymnastics felt feeling two day later stood face face teacher highly appreciated respected
sadness,father died
sadness,good friend intimate relationship made clear want continue way choose girlfriend also friend mine
sadness,saying goodbye airport boyfriend go school back east close together year
anger,sexually assulted bus noone helped people laughed
fear,travelling tram tripped fell door thought going fall out
shame,felt ashamed got book force girl
sadness,friend find love her
sadness,talked boyfriend phone high spirit lot tell him looking forward conversation listen extent anticipated
anger,whenever father smoke smell make feel uncomfortable never listens complaint curse furiously mind cannot solve problem violence traditional moral value
guilt,experience feeling guilt study enough
fear,gone boxing tournament ended o clock morning alone way back could hear barking dog nocturnal animal sound footstep rumour circulating ghost area
shame,able answer question seminar
guilt,quarreling brother broke glass door cupboard china doll scolded father breaking door tell door
joy,coming home exam supposed passed ran restaurant beer
fear,work day care centre one day child outdoors four year old boy disappeared yard looking then manager responsible
fear,prepared exam wanted sleep night exam
shame,christian gathering s lucky draw mistook girl s name mine a boy s name realized mistake went stage prize know everyone looking me blushed went back seat
anger,someone signed workshift co op live want work switchboard became angry mentioned earlier wanted needed workshift sign up
fear,saw accident woman run died spot
sadness,caused family disturbance
anger,use lie parets do two time felt anger doubted said going club believe day met fliperama wish kill them
guilt,talking someone behind back
fear,heard ghost like noise night
disgust,disgusted first day went put dead body mortuary many dead body uncovered put top body
guilt,promised friend take important appontment late missed opportunity get wellpayed holiday job
